Districts,Median monthly,Population (2016),Density ги/KM2),Latitudes,Longtitudes
Wan Chai,"44,100","180,123","17,137",22.2760,114.1751
Central and Western,"41,400","243,266","19,391",22.2730,114.1499
Sai Kung,"36,500","461,864","3,563",22.3837,114.2708
Eastern,"34,300","555,034","30,861",22.2734,114.2361
Southern,"32,800","274,994","7,080",22.2432,114.1974
Tsuen Wan,"32,600","318,916","5,149",22.3699,114.1144
North,"30,400","315,270","2,310",22.5009,114.1558
Kowloon City,"30,000","418,732","41,802",22.3186,114.1796
Yau Tsim Mong,"30,000","342,970","49,046",22.3211,114.1726
Sha Tin,"29,700","659,794","9,602",22.3771,114.1974
Islands,"28,400","156,801",886,22.2588,114.1911
Yuen Long,"27,000","607,200","4,435",22.4445,114.0222
Tai Po,"25,800","303,926","2,233",22.4423,114.1655
Wong Tai Sin,"25,500","425,235","45,711",22.3430,114.1930
Tuen Mun,"25,000","489,299","5,894",22.3908,113.9725
Kwai Tsing,"24,700","520,572","22,307",22.3549,114.1261
Sham Shui Po,"24,300","405,869","43,381",22.3286,114.1603
Kwun Tong,"22,500","648,541","57,530",22.3104,114.2227
