city,lat,lng,country,iso2,admin_name,capital,population,population_proper
Hong Kong,22.3050,114.1850,Hong Kong,HK,,,7347000,7298600
Sham Shui Po,22.3285,114.1622,Hong Kong,HK,,,,
Sai Wan Ho,22.2845,114.2232,Hong Kong,HK,,,,
Nga Ying Chau,22.3602,114.1073,Hong Kong,HK,,,,
Pak Wan,22.3616,114.1019,Hong Kong,HK,,,,
Tai Kok Tsui,22.3215,114.1630,Hong Kong,HK,,,,
North Point Estate,22.2934,114.2021,Hong Kong,HK,,,,
Aberdeen,22.2492,114.1565,Hong Kong,HK,,,,
Shek Pai Wan Resettlement Estate,22.2493,114.1581,Hong Kong,HK,,,,
Fung Wong Village,22.3500,114.2000,Hong Kong,HK,,,,
Chuk Yuen,22.3454,114.1933,Hong Kong,HK,,,,
Ma Tau Wai,22.3237,114.1865,Hong Kong,HK,,,,
Ma Tau Kok,22.3212,114.1913,Hong Kong,HK,,,,
Tin Shui Wai,22.4568,114.0023,Hong Kong,HK,,,,
Sha Kong Wai Tsai,22.4654,113.9924,Hong Kong,HK,,,,
Pak Kiu,22.4514,114.1720,Hong Kong,HK,,,,
San Po Kong,22.3370,114.1983,Hong Kong,HK,,,,
Nga Tsin Wai,22.3351,114.1935,Hong Kong,HK,,,,
Tai Hom Village,22.3395,114.1997,Hong Kong,HK,,,,
Wong Tai Sin,22.3413,114.1941,Hong Kong,HK,,,,
Hung Hom,22.3072,114.1853,Hong Kong,HK,,,,
Victoria,22.2875,114.1442,Hong Kong,HK,,,,
Sai Ying Pun,22.2900,114.1422,Hong Kong,HK,,,,
Ma Wan Tsuen,22.2833,114.2333,Hong Kong,HK,,,,
Shau Kei Wan,22.2777,114.2286,Hong Kong,HK,,,,
Tsin Shui Ma Tau,22.2833,114.2333,Hong Kong,HK,,,,
Ham Tin,22.3726,114.1255,Hong Kong,HK,,,,
Tai Lin Pai,22.3667,114.1333,Hong Kong,HK,,,,
Mong Kok,22.3193,114.1714,Hong Kong,HK,,,,
Shek Tong Tsui,22.2864,114.1344,Hong Kong,HK,,,,
